총 샘플 수: 55
[epoch 1/3] 배치 반복 시작
  - batch 41: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0040.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=46
  - batch 42: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0041.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=37
  - batch 43: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0042.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=51
  - batch 44: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0043.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=84
  - batch 45: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0044.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=47
  - batch 46: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0045.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=33
  - batch 47: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0046.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=49
  - batch 48: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0047.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=64
  - batch 49: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0048.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=72
  - batch 50: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0049.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=70
  - batch 51: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0050.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=64
  - batch 52: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0051.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=32
  - batch 53: size=1, 파일=1_20240821_gJ5IX1jty3E_[ENG] 카리나의 여름 취향 A-Z까지 다 모았다! l 에스파 l 카리나 ㅣ톡톡 인터뷰_(Vocals)_seg0052.wav, speaker=speaker_001, duration_ms=5000, sample_rate=44100, frames=220500, text_len=14
